"name","weightingms","discountsellingprice","price_per_gram"
"Saffola Everyday Peppy Tomato Masala Oats",500,1.71,0.00
"Top Ramen Chicken Noodles",280,0.54,0.00
"Funfoods Peanut Butter Creamy",400,1.69,0.00
"Praakritik Organic Kapli Wheat Atta",1000,1.47,0.00
"Praakritik Organic Yellow Moon Dal",500,1.35,0.00
"iD Wheat Lachha Paratha",400,0.70,0.00
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",600,1.49,0.00
"McCain New Mini Samosa with Cheese Corn Style Filling",240,1.18,0.00
"Ariel Matic Front Load Liquid Detergent",1000,2.20,0.00
"Tata Sampann High Protien Kabuli Chana",500,0.94,0.00
"The Bake Shop Whole Wheat Oats Khari",200,0.61,0.00
"Saffola Gold Oil (Pouch)",1000,2.15,0.00
"Ching's Secret Schezwan Instant Noodle",480,1.14,0.00
"Amul Cheese Sauce Mexican Salsa",200,0.72,0.00
"Tata Sampann Masoor Dal Stand",1000,1.34,0.00
"Go Cheese  Spread Plain",200,0.94,0.00
"Britannia Nutri Choice Ragi Cookies",150,0.63,0.00
"ITC Master Chef Cheesy Corn Triangles",320,1.52,0.00
"MTR Paneer Butter Masala & Veg Pulao",375,1.58,0.00
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",3000,6.48,0.00
"Suguna Fit Egg",348,0.68,0.00
"Tata Sampann Poha",500,0.41,0.00
"Praakritik Organic Jaggery",900,1.50,0.00
"Mother's Recipe Tamarind Paste",200,0.49,0.00
"Hershey's Chocolate Flavour Syrup",623,2.05,0.00
"Prabhat Malai Paneer Pouch",200,0.80,0.00
"Gala Scrubber Pad",290,0.68,0.00
"Vim Dishwash Liquid Gel Lemon",750,1.75,0.00
"Puro Healthy Salt Crystal",1000,1.25,0.00
"Tata Sampann Moong Chilka ",500,0.82,0.00
"Mccain Emotibites - Crispy Happy Potato Snack",415,1.29,0.00
"Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",500,0.79,0.00
"Kapiva Wild Tulsi Giloy Juice |",1000,3.40,0.00
"Kelloggs Chocos Moon & Stars",680,2.94,0.00
"Britannia Milk Bikis Cream Biscuit",500,0.70,0.00
"Sunfeast Mom's Magic Rich Butter Cookies",200,0.27,0.00
"Everest Tikhalal Chilli Powder",500,2.12,0.00
"24 Mantra Organic Rajma",500,1.45,0.00
"Colin Glass and Surface Cleaner Liquid Spray Regular",500,0.89,0.00
"Zama Organics Sweet Potato",250,0.31,0.00
"Parachute Advansed Gold Coconut Hair Oil",400,1.94,0.00
"Mr Muscle Dranex Drain Cleaner Kiwi",375,1.49,0.00
"Arden Eggs Brown",348,0.79,0.00
"Lemon",200,0.63,0.00
"Durex Air Ultra Thin Condoms",174,0.82,0.00
"Popular Essentials Dry Dates (Kharak)",250,1.18,0.00
"Parle Monaco Jeffs Zeera Biscuit",200,0.54,0.00
"The Bake Shop Milk & Raisin Toast (Rusk)",200,0.56,0.00
"Praakritik Organic Indrayani Rice",500,0.70,0.00
"Popular Essentials Red Rajma",500,0.81,0.00
"24 Mantra Organic Jaggery Powder",500,0.68,0.00
"Britannia Marie Gold Biscuits Packet",250,0.30,0.00
"Suguna Active - DHA",348,0.62,0.00
"Popular Essentials Tamarind",500,1.28,0.00
"Vanish All in One Powder Detergent Booster",400,1.89,0.00
"Amul Safed Makkhan",500,2.32,0.00
"McCain Chilli Cheesy Nuggets",250,1.24,0.00
"Britannia Toastea Premium Bake Rusk",700,0.94,0.00
"Mangaldeep Rose Puja Agarbatti ",120,0.59,0.00
"Hershey's Syrup Delicious Strawberry",200,0.95,0.00
"Hershey's Chocolate Milk Booster",450,2.00,0.00
"Lettuce Red",100,0.17,0.00
"Pro Nature Organic Sonamasoori Brown Rice",1000,0.94,0.00
"Ching's Secret Manchurian Instant Noodle",480,1.14,0.00
"McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets",420,1.18,0.00
"Eastern Tamarind",200,0.63,0.00
"Weikfield Falooda Mix - Mango",200,0.48,0.00
"Lettuce Green",100,0.19,0.00
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L",1000,1.78,0.00
"Godrej No.1 Bathing Soap, Jasmine",400,0.84,0.00
"Britannia Bourbon Chocolate Cream Biscuits",150,0.34,0.00
"Popular Essentials Sabudana",500,0.54,0.00
"Popular Essentials Sona Masouri Steam Rice",1000,0.59,0.00
"Betty Crocker Complete Pancake Mix Original",250,1.05,0.00
"Daawat Rozana Gold Basmati Rice",1000,0.89,0.00
"Wingreens Cheesy Chipotle Sauce",130,0.50,0.00
"Amul Cheese Slices",750,3.59,0.00
"Sunfeast Mom's Magic Cashew & Almond Biscuits",600,1.02,0.00
"Rin Detergent Bar",140,0.10,0.00
"Veeba Pizza Topping",280,0.70,0.00
"Sunfeast Yippee! Magic Masala Noodles",240,0.45,0.00
"Aashirvaad Multigrain Atta",1000,0.62,0.00
"Popular Essentials Saunf/Fennel Seeds",100,0.44,0.00
"Veeba Truly Tomato Ketchup",500,0.79,0.00
"Santoor Almond Soft With Sandal & Almond Milk",625,1.80,0.00
"Britannia Marie Gold (Buy 4 Get 1 Free)",600,0.80,0.00
"Lizol Disinfectant Surface & Floor Cleaner Liquid Floral",500,0.97,0.00
"Amul Pizza Cheese - Mozzarella",200,0.99,0.00
"Switz Spring Roll Dough Sheets",1160,0.86,0.00
"Smith & Jones Masala Noodles",480,0.89,0.00
"Kitchens Of India Dal Makhani",285,0.77,0.00
"Amul Happy Treats French Fries",425,0.65,0.00
"Daawat Rozana Super Basmati Rice",1000,0.79,0.00
"Arden Eggs White",696,0.97,0.00
"Dhara Kachi Ghani Mustard Oil Jar",5000,11.43,0.00
"Tata Sampann Kala Chana",500,0.64,0.00
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Soft",232,0.99,0.00
"Britannia Pure Magic - Chocolush",100,0.34,0.00
"The Bake Shop Whole Wheat Toast (Rusk) ",200,0.56,0.00
"Gits Khaman Dhokla Instant Snack Mix",180,0.61,0.00
"Whisper Bindazzz Night Sanitary Pads XL Plus",870,1.85,0.00
"Maggi Hot & Sweet Tomato Chilli Sauce",500,1.15,0.00
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",1200,3.87,0.00
"Kellogg's Chocos",250,1.17,0.00
"Britannia Nice Time Biscuit",150,0.25,0.00
"Ariel Matic Front Load Detergent Powder",1000,2.60,0.00
"Oxi Green Dish Wash Liquid - Lemon",500,0.98,0.00
"Dabur Hommade - Garlic Paste",200,0.47,0.00
"Veeba Eggless Mayonnaise",250,0.70,0.00
"Mango Raw",500,0.50,0.00
"Amul Frozen Malai Paneer",200,0.73,0.00
"Gillette Presto Ready Shaver 5 Cartridges ",290,0.82,0.00
"McCain Herb & Garlic Crazy Fries Masala Mix ",400,1.14,0.00
"Parachute 100% Pure Coconut Oil",300,1.23,0.00
"Banana Red",500,0.45,0.00
"Mother Dairy Ultra Full Cream Milk",500,0.31,0.00
"Parle Fab Bourbon",150,0.30,0.00
"Dettol Clinical Strength Hand Sanitizer Liquid",500,2.25,0.00
"Praakritik Organic Singhara Atta",500,2.25,0.00
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",1200,2.32,0.00
"Veeba Salsa Dip",360,1.11,0.00
"Fresh Chicken Whole Leg - Skinless (Halal)",500,1.57,0.00
"Mortein Dual All Insect Killer Spray",600,2.52,0.00
"Onion",3000,0.57,0.00
"TGFC Chicken Boneless Fresh Whole",500,2.22,0.00
"Go Cheese Spread - Garlic",200,0.94,0.00
"Mother's Recipe Pickle - Mango",500,1.09,0.00
"Epigamia Almond Milk Unsweetened Dairy Free",1000,1.99,0.00
"Britannia Multigrain Bread ",400,0.55,0.00
"Cadbury Chocobakes Choc Filled Cookies",150,0.60,0.00
"The Bake Shop Whole Wheat Ladi Pav",200,0.40,0.00
"Safal Frozen - Mixed Vegetables",1000,1.05,0.00
"Potato",3000,0.84,0.00
"Vicks Cough Drops Menthol",1160,0.20,0.00
"Popular Essentials Broken Wheat/Daliya",500,0.34,0.00
"Britannia Toastea Premium Bake Rusk",182,0.35,0.00
"Surf Excel Matic Front Load Detergent Powder",2000,5.07,0.00
"McCain Smiles - Pudina Chatka",375,1.14,0.00
"Pears Pure And Gentle Value Pack Of 3 Bathing Soap",375,1.86,0.00
"Top Ramen Masala Oat Masala",280,0.72,0.00
"Everest Tikhalal Hot & Red Chilly Powder",100,0.46,0.00
"Patanjali Kesh Kanti Natural Hair Cleanser",200,0.68,0.00
"Sunfeast Marie Light",200,0.20,0.00
"Yummiez Green Peas",1000,2.50,0.00
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",500,0.84,0.00
"Shubh kart - Nirmal 5 in 1 Agarbatti Zipper - 150g",150,0.56,0.00
"Popular Essentials HMT Kolam Steam",5000,3.33,0.00
"Everest Coriander Powder",200,0.63,0.00
"Fortune Besan Flour",1000,1.20,0.00
"Potato",1000,0.29,0.00
"Apsara Non Dust Eraser",1160,0.54,0.00
"Mothers Recipe Papad Chana Masala",200,0.71,0.00
"Pumpkin Cut",200,0.25,0.00
"Nestle A+ Nourish Dahi",400,0.68,0.00
"Britannia Good Day Pista Badam",200,0.44,0.00
"Lijjat Moong Papad",200,0.57,0.00
"Satyam Puffed Rice Kurmura (A)",200,0.43,0.00
"Saffola Veggie Twist Masala Oats",500,1.71,0.00
"Sundrop Super Lite Advanced - Sunflower Oil",1000,2.15,0.00
"Satyam Thin Poha Patla",500,0.35,0.00
"Amul Dark Compound Chocolate Slab",500,1.22,0.00
"Saffola Active Oil",1000,2.10,0.00
"24 Mantra Turmeric Powder",100,0.34,0.00
"Popular Essentials Toor Dal (Un-Polished)",500,0.74,0.00
"Sunfeast Farmlite Nuts Digestive",250,0.62,0.00
"Sunfeast YiPPee! Magic Masala Noodles",405,0.63,0.00
"Popular Essentials Jeera/Cumin Seeds",100,0.38,0.00
"Britannia Treat Burst Choco Creme Fills",120,0.30,0.00
"Jivana Jaggery",950,1.00,0.00
"Britannia Vita Marie Gold Biscuit",300,0.45,0.00
"Yummiez Green Peas",500,1.35,0.00
"Ching's Secret Green Chilli Sauce",680,0.81,0.00
"Amul Cheese Sauce Jalapeno",200,0.75,0.00
"Oxi Green Phenyl Concentrate",1000,1.80,0.00
"Lizol Double Concentrate Disinfectant Floor Cleaner Lavender",900,2.92,0.00
"24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle",1000,3.47,0.00
"Popular Essentials Moth Whole",500,0.81,0.00
"Kellogg's Special K Original Corn Flakes",290,1.33,0.00
"Popular Essentials Bajra Whole",1000,0.56,0.00
"ITC Master Chef Veggie Pizza Pocket",340,1.62,0.00
"Dhara Life Refined Ricebran Oil (Pouch)",1000,1.90,0.00
"Kellogg’s Chocos Protein And Fibre Of 1 Roti",1200,4.44,0.00
"Durex Air Ultra Thin Condom",580,2.20,0.00
"Popular Essentials Brown Sugar",500,0.40,0.00
"Saffola Soya Chunks Mealmaker",200,0.50,0.00
"Kitchens Of India Mutter Paneer",285,1.24,0.00
"Suguna Nourish Egg",696,0.62,0.00
"Eveready 1012 Carbon Zinc AAA Battery",580,1.43,0.00
"Popular Essentials Horse Gram",500,0.36,0.00
"Britannia Nutri Choice Digestive Biscuits Packet",100,0.25,0.00
"Tomato Cherry ",200,0.29,0.00
"24 Mantra Organic Peanuts",500,1.25,0.00
"Mint Leaves ",100,0.09,0.00
"Whisper Daily Liners Clean and Fresh",1160,1.05,0.00
"Maggi 2-Minute Instant Noodles - Masala",280,0.44,0.00
"iD Natural Paneer",200,0.99,0.00
"Bagrrys Corn Flakes",880,3.50,0.00
"Amul Taaza Toned Homogenised Milk",1000,0.64,0.00
"Beetroot",500,0.13,0.00
"Kelloggs Special K",435,1.92,0.00
"Fortune Kachi Ghani Mustard Oil Bottle",1000,1.99,0.00
"McCain Crazy Fries Masala MixHot 'n' Tangy",400,1.14,0.00
"Dabur Hajmola Pudina - Digestive Tablets",120,0.42,0.00
"Dabur Hommade - Ginger Garlic Past Tub",400,1.04,0.00
"Popular Essentials Idli Sooji ",500,0.28,0.00
"Tata Sampann Unpolished Urad Whole",500,0.94,0.00
"The Bake Shop Whole Wheat Multigrain Toast (Rusk)",200,0.56,0.00
"Popular Essentials HMT Kolam Steam",1000,0.75,0.00
"Beans Cluster",250,0.25,0.00
"Praakritik Organic Tuvar Dal",500,1.40,0.00
"Ching's Red Chilli Sauce",200,0.55,0.00
"Origami Paper Party Plates",580,2.40,0.00
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",1900,5.98,0.00
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",120,0.29,0.00
"Beetroot",250,0.09,0.00
"Mixed Sprouts",200,0.29,0.00
"Madhur Pure And Hygienic Sugar",5000,2.66,0.00
"Kellogg's Crunchy Bites Chocos",375,1.71,0.00
"MTR Seviyan Vermicelli ",400,0.42,0.00
"Praakritik Organic Raw Sugar",500,0.84,0.00
"Savlon Moisture Shield Hand Wash",750,0.95,0.00
"The Bake Shop Burger Buns",100,0.20,0.00
"Dabur Gulabari Premium Rose Water",120,0.47,0.00
"Sunfeast Dark Fantasy Choco Fills Cookies Packet",300,1.27,0.00
"Hit Cockroach Killer Spray ",200,0.98,0.00
"Mother's Recipe Lime Pickle ",400,1.14,0.00
"Genteel Liquid Detegrent",2000,3.20,0.00
"Madhur Sugar",1000,0.56,0.00
"MTR Roasted Vermicelli ",400,0.55,0.00
"Nestle A+ Actiplus Probiotic Dahi Plain Curd",400,0.75,0.00
"Palmolive Naturals Sea Minerals Liquid Hand Wash",250,0.89,0.00
"Britannia Milk Bikis Cream Biscuit",200,0.45,0.00
"Popular Essentials Sona Masouri Raw Rice",1000,0.75,0.00
"Britannia Milk Bikis Biscuits Packet",200,0.20,0.00
"Sapota",348,0.25,0.00
"Om Bhakti - Pancha Deepa Oil ",1000,1.79,0.00
"Kapiva Thar Aloe Vera Juice",1000,2.54,0.00
"Aashirvaad Select Atta",1000,0.64,0.00
"Chef's Basket Durum Wheat Penne Pasta",500,0.80,0.00
"Tata Sampann Unpolished Rajma (Chitra)",500,1.25,0.00
"Amul Unsalted Cooking Butter",500,2.38,0.00
"Dettol Hand Sanitizer",200,0.95,0.00
"Hajmola Anardana Digestive Tablets",120,0.42,0.00
"Aashirvaad Breakfast Instant Mix - Rice Idli",200,0.52,0.00
"Lotte Choco Pie ",168,0.72,0.00
"Popular Essentials Dessicated Coconut",200,0.86,0.00
"TGFC Tilapia Curry Cut",500,1.47,0.00
"Dabur Ginger Garlic Paste",200,0.47,0.00
"Britannia 50-50 Maska Chaska Biscuits",120,0.31,0.00
"Sunfeast YiPPee! Noodles - Magic Masala",540,0.91,0.00
"Britannia Nutri Choice Oats Choco Almond Biscuit",100,0.23,0.00
"Chef's Basket Durum Wheat Elbow Pasta",500,0.80,0.00
"Ariel Complete Detergent Washing Powder 1 kg + 500 g Free",1500,2.63,0.00
"Colgate Zig Zag Charcoal Medium Toothbrush 4 Pcs",232,0.99,0.00
"Kellogg's All Bran Wheat Flakes",425,2.05,0.00
"24 Mantra Organic Puffed Rice",200,0.39,0.00
"Kitchens of India Dal Makhani",285,0.77,0.00
"Britannia Bourbon Biscuit Buy 4 Get 1 Free",500,0.72,0.00
"Amul Fresh Cream",250,0.63,0.00
"Garlic",200,0.13,0.00
"24 Mantra Bura Sugar (Demerara)",500,0.72,0.00
"Bauli Moonfills Pack of 4",180,0.54,0.00
"iD Curd Cup",400,0.60,0.00
"ITC Master Chef Classic Aloo Tikki",320,0.72,0.00
"Basil",100,0.17,0.00
"Surf Excel Matic Top Load Detergent Powder",1000,1.88,0.00
"Figaro Pitted Black Olive ",450,1.79,0.00
"Lijjat Urad Papad",200,0.57,0.00
"Tomato Hybrid",1000,0.35,0.00
"Popular Essentials Black Masoor Whole (Un-Polished)",500,0.58,0.00
"Ching's Secret Veg Hakka Noodles",600,1.07,0.00
"Praakritik Organic Besan",500,1.59,0.00
"Pantai Coconut Cream",400,1.43,0.00
"Lettuce Iceberg",250,0.21,0.00
"Britannia Tiger Krunch Biscuits",400,1.20,0.00
"Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish",1100,3.47,0.00
"24 Mantra Organic Chana Dal",500,0.89,0.00
"Mother's Recipe Madras Appalam",100,0.45,0.00
"Switz Paratha Puff",400,1.05,0.00
"Woodward's Gripe Water",200,0.75,0.00
"Veeba Carrot & Cucumber Sandwich Spread",250,0.76,0.00
"Britannia 50-50 Maska Chaska Biscuit",300,0.68,0.00
"MTR Ready to Eat Pav Bhaji",300,1.10,0.00
"Whiskas Adult Pocket Tuna Cat Food",1200,4.10,0.00
"iD Malabar Parota ",400,0.72,0.00
"Popular Essentials Rice Flour",1000,0.60,0.00
"iD Idli & Dosa Batter ",1000,0.68,0.00
"Woodwards Gripe Water ",130,0.50,0.00
"Popular Essentials Mustard Seeds Rai Yellow",100,0.25,0.00
"Popular Essentials Chiroti Sooji",500,0.34,0.00
"Britannia Pure Magic Vanilla Creme Biscuit",100,0.29,0.00
"Fortune Soya Health Refined Soybean Oil",1000,2.06,0.00
"Sunfeast Farmlite 5 Seed Digestive",250,0.60,0.00
"24 Mantra Organic Moong Dal",500,1.25,0.00
"Dabur Hommade - Imli Sauce Saunth",100,0.18,0.00
"Popular Essentials Fried Gram (Bengal Gram)",500,0.63,0.00
"Tata Salt",1000,0.24,0.00
"Borges Canola Oil Pet Bottle",1000,3.99,0.00
"Moong Sprouts",200,0.29,0.00
"Unibic Assorted Cookies ",450,1.37,0.00
"Banana Nendran",500,0.45,0.00
"Om Bhakti Cow Dung Cakes ",290,0.16,0.00
"Ching's Secret Chilli Vinegar",170,0.50,0.00
"Britannia 100% Whole Wheat Bread",450,0.45,0.00
"Popular Essentials Methi Seeds",100,0.25,0.00
"Capsicum",500,0.21,0.00
"Lizol Disinfectant Surface & Floor Cleaner Liquid Floral",975,1.88,0.00
"Amul Pure Ghee (Pouch)",1000,4.99,0.00
"Surf Excel Quick Wash",1000,1.95,0.00
"Whisper Bindazzz Nights XL + Sanitary Pad",406,0.90,0.00
"Aashirvaad Superior MP Atta",5000,2.45,0.00
"Del Monte Original Blend Tomato Ketchup Pouch",950,1.11,0.00
"Patanjali Kesh Kanti Aloe Vera Hair Cleanser",200,0.85,0.00
"Sugarlite 50% Less Calories Sugar Pouch",500,0.59,0.00
"Kitchens Of India Palak Paneer",285,0.91,0.00
"Himalaya Anti-Hair Fall Shampoo",400,1.88,0.00
"Britannia Treat Jimjam Cream Biscuits ",100,0.25,0.00
"Ching's Secret Red Chilli Sauce",440,1.05,0.00
"Pillsbury Atta/Godihittu - Chakki Fresh",5000,2.75,0.00
"Kellogg's Real Almond & Honey Corn Flakes",650,3.24,0.00
"Figaro Sliced Black Olive ",450,1.79,0.00
"Mother's Recipe Paste Ginger & Garlic",300,0.68,0.00
"Everest Coriander Powder",100,0.31,0.00
"Popular Essentials Rozana Sona Masuri Raw Rice",5000,3.12,0.00
"Popular Essentials Sattu Atta",500,0.79,0.00
"Godrej Real Good Chicken Marinated Lollipop ",580,1.80,0.00
"Mother's Recipe Ginger And Garlic Paste",200,0.38,0.00
"Cadbury Oreo Strawberry Bicuits",120,0.29,0.00
"Nestle Milkmaid",400,1.28,0.00
"Kellogg's Chocos Combo Pack",156,0.56,0.00
"Godrej Protekt Germ Fighter Handwash",750,0.99,0.00
"Kelloggs Chocos - Moons & Stars",1200,3.96,0.00
"Savlon Herbal Sensitive Liquid Handwash Refill Pouch",750,1.10,0.00
"Britannia Good Day Cashew Cookies",100,0.20,0.00
"Dukes Waffy Strawberry Roll",250,0.75,0.00
"Kellogg's Original Corn Flakes",875,2.90,0.00
"Britannia Burger Bun with Sesame Seed",200,0.30,0.00
"Pillsbury Chakki Fresh Atta",1000,0.52,0.00
"Tata Sampann Unpolished Toor Dal/Arhar Dal",1000,1.77,0.00
"Fortune Soyabean Oil",1000,1.81,0.00
"Surf Excel Stain Eraser",150,0.18,0.00
"Fiama Di Wills Lemongrass & Jojoba Gel Bar",375,1.58,0.00
"Del Monte Eggless Mayo",500,1.26,0.00
"Kitchen Of India Ready-To-Eat Pindi Channa",285,0.77,0.00
"Del Monte Schezwan Sauce",190,0.55,0.00
"Popular Essentials Ajwain Whole",100,0.44,0.00
"Mother Dairy Toned Milk Pouch",500,0.25,0.00
"Saffola Gold Refined Cooking Oil (Jar)",2000,4.49,0.00
"Britannia Fruit Bun",100,0.17,0.00
"Harpic Lemon Bathroom Cleaner ",500,0.86,0.00
"MTR Dal Fry",300,1.10,0.00
"Kiwi Dranex Drain Cleaner",348,1.22,0.00
"Stayfree Secure Dry Cover Extra Large Sanitary Pad",406,0.41,0.00
"Nestle A+ Slim Dahi - Low Fat",400,0.75,0.00
"Chef's Basket Durum Wheat Fusilli Pasta",500,0.80,0.00
"Whisper Ultra Clean XL Plus Sanitary Pad",870,1.75,0.00
"Quaker Oats Pouch",1500,2.48,0.00
"24 Mantra Sona Masuri Brown Rice",5000,4.23,0.00
"Dettol Original Soap (B4G1)",625,2.47,0.00
"Popular Essentials Salted Murmure ",400,0.57,0.00
"MTR Roasted Vermicelli ",850,1.05,0.00
"Dabur Hajmola Imli Digestive Tablets",120,0.42,0.00
"Kitchens Of India Rajma Masala",285,0.77,0.00
"Britannia Nutrichoice 5 Grain Digestive Biscuits",200,0.75,0.00
"24 Mantra Organic Urad White Whole",500,1.22,0.00
"Pedigree Dog Food Adult Chicken & Veg",3000,5.94,0.00
"Weikfield Baking Soda",100,0.29,0.00
"Lotte Choco Pie ",336,1.31,0.00
"Godrej Real Good Chicken Lollypop",580,1.58,0.00
"Del Monte Pizza & Pasta Sauce Spout Pack",400,0.99,0.00
"Gits Medu Vada Instant Snack Mix",200,0.86,0.00
"TGFC Catla Bengali Cut",500,2.04,0.00
"Whisper Choice Regular Wing Sanitary Pad",406,0.30,0.00
"Dabur Honey - World's No.1",250,1.20,0.00
"Popular Essentials Pure Jaggery",450,0.49,0.00
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",900,3.08,0.00
"Baker Street Suji Rusk Large Pack",200,0.27,0.00
"Aashirvaad Iodised Salt ",1000,0.19,0.00
"Quaker Oats",1000,1.84,0.00
"Surf Excel Quick Wash",4000,5.49,0.00
"Maggi Special Masala Spicy Yummy Noodles",280,0.72,0.00
"Praakritik Organic Natural Rock Salt",500,0.56,0.00
"Figaro Plain Green Olive ",450,1.79,0.00
"Veeba Sriracha Chilli Garlic Sauce",320,1.37,0.00
"Sweet Lime",116,0.25,0.00
"Carrot",500,0.15,0.00
"Veeba Pasta And Pizza Sauce",280,0.65,0.00
"McCain French Fries Crisp & Delicious",750,1.67,0.00
"Dabur Ginger Garlic Paste",100,0.23,0.00
"Dabur 100% Pure Honey - Worlds No.1",1000,3.87,0.00
"Popular Essentials Pink Rajma",500,0.90,0.00
"Amul Delicious Fat Spread - Cholesterol Free",500,0.86,0.00
"Popular Essentials Urad Dal Split (Un-Polished)",500,0.77,0.00
"Britannia Good Day Choco Chip Cookies",100,0.29,0.00
"24 Mantra Organic Green Moong Dal - Split",500,1.35,0.00
"McCain Veggie Fingers",400,1.11,0.00
"Masala Oats Masala & Coriander ",500,1.76,0.00
"Aashirvaad Instant Mix - Rice Dosa",200,0.52,0.00
"Dabur Hommade - Kalonji Tamatar Ki Chutney",200,0.61,0.00
"Ariel Matic Front Load Detergent Washing Powder",3000,6.80,0.00
"24 Mantra Organic Jowar Flour",500,0.65,0.00
"Fiama Peach & Avocado Gel Bar",375,1.58,0.00
"Fortune Soyabean Oil",5000,9.99,0.00
"Britannia Good Day Nut Cookies",120,0.30,0.00
"Capsicum Green ",250,0.19,0.00
"Ariel Matic Top Load Detergent Washing Powder",1000,2.25,0.00
"Gillette Sensitive Shaving Foam",418,2.10,0.01
"L'Oreal Paris Color Protect Conditioner",192,1.99,0.01
"Himalaya Anti Hair Fall Shampoo",700,3.67,0.01
"Cadbury Cocoa Powder",150,2.11,0.01
"Godrej Real Good Chicken Leg Boneless",450,2.48,0.01
"Head & Shoulders Anti Dandruff Anti Hairfall Shampoo",340,2.85,0.01
"Popular Essentials Sabja/Basil Seeds",100,0.51,0.01
"Dove Hair Fall Rescue Conditioner",175,1.90,0.01
"Gowardhan Pure Ghee Pouch",500,2.81,0.01
"Johnson's Baby Oil",200,2.00,0.01
"Pantai Fish Sauce",200,2.34,0.01
"Zorabian Chicken Smoked Ham",250,1.94,0.01
"Ceres Foods Nalli Nihari Instant Liquid Masala",200,1.10,0.01
"Pantai Light Soy Sauce",200,2.34,0.01
"Popular Essentials Black Raisins Seedless",100,0.54,0.01
"Everest Dry Mango Powder",100,0.80,0.01
"Popular Essentials Phool Makhana (Jumbo Size)",100,1.28,0.01
"Godrej Yummiez Chicken Nuggets",500,2.93,0.01
"Del Monte Black Sliced Olives",450,2.50,0.01
"Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ",200,2.47,0.01
"Himalaya Anti Dandruff Shampoo",200,1.26,0.01
"The Whole Truth - 5 Grain Muesli No Added Sugar",350,2.60,0.01
"Pomegranate ",116,0.89,0.01
"L'Oreal Anti Hair Fall Conditioner",192,1.99,0.01
"Apple Shimla",232,1.19,0.01
"Fiama Men's Refreshing Pulse Shower Gel",250,1.80,0.01
"Sunsilk Stunning Black Shine Shampoo",650,5.21,0.01
"Odonil Room Air Freshener Spray Lavender Mist",240,1.41,0.01
"Scotch Brite Sponge Wipes",174,2.00,0.01
"Pillsbury Oven Cake Mix - Rich Chocolate",285,1.47,0.01
"Lux International Creamy White Soap Bar",125,0.63,0.01
"Ceres Foods Laal Maas Instant Liquid Masala",200,1.10,0.01
"Nestle Cerelac Baby Cereal With Milk Wheat-Rice Mixed Fruit",300,2.61,0.01
"Delight Nuts Cranberries Sliced ",200,2.39,0.01
"Johnson's Baby Oil",100,1.15,0.01
"Dove Dandruff Care Shampoo",180,1.47,0.01
"Kellogg's Real Almond & Honey Corn Flakes",300,1.58,0.01
"Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner",340,3.75,0.01
"L'Oreal 6 Oil Nourish Conditioner",192,1.35,0.01
"Ceres Foods Fish Mustard Instant Liquid Masala",200,1.10,0.01
"Everest Kitchen King Masala",100,0.60,0.01
"ITC Master Chef Chicken Galouti Kebab",210,1.62,0.01
"Dove Daily Shine Shampoo",340,2.40,0.01
"Godrej Real Good Chicken Breast Boneless",450,2.48,0.01
"Himalaya Gentle Baby Shampoo",400,2.65,0.01
"Dettol Antiseptic Disinfectant Liquid",125,0.66,0.01
"Dabur Honitus Herbal Cough Remedy Ayurvedic Syrup",100,0.89,0.01
"Godrej Yummiez Chilli Chicken Sausages ",250,1.44,0.01
"L'Oreal Paris Total Repair 5 Conditioner",192,1.99,0.01
"Dove Daily Shine Shampoo",650,6.12,0.01
"Patanjali Hing Goli",100,0.58,0.01
"Dabur Honey Squeezy",225,1.67,0.01
"The Bake Shop Maska & Multigrain Cheese Crackers",100,1.16,0.01
"Head & Shoulders 2-in-1 Active Protect Shampoo",340,3.38,0.01
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",180,1.20,0.01
"Amul Butter - Pasteurised (School Pack)",100,0.57,0.01
"Everest Kitchen King Masala",200,1.28,0.01
"Palmolive Aroma Absolute Relax Shower Gel",250,1.59,0.01
"Gillette Pre Shave Foam - Classic Regular Skin",418,2.25,0.01
"Clean & Clear Foaming Face Wash",100,1.26,0.01
"Patanjali Cow's Ghee",1000,5.65,0.01
"Mamaearth Deeply Nourishing wash for Babies",200,1.99,0.01
"Betty Crocker Mug Treats - Chocolate Mix - Pack of 4",264,1.78,0.01
"Nycil Germ Expert Cool Herbal Talc",150,1.19,0.01
